Variable,Transition,Shifting,Seasonality,Trend,Stationarity,Correlation
channel_1,0.006944444444444444,0.13188108272506072,0.6746831640078019,0.35698107374688803,1.6344611637348923e-09,0.8024527081774847
channel_2,0.011019283746556474,0.011557177615571845,0.8402456004313705,0.7907270690512885,6.710573544858192e-10,0.8024527081774847
channel_3,0.15407407407407403,-0.9285659975669099,0.7422123435683918,0.462505239599606,1.8603893926444767e-05,0.8024527081774847
channel_4,0.0016838542334426426,0.29729318734793186,0.94801109705614,0.8216091642703955,8.873304807598791e-08,0.8024527081774847
channel_5,0.016782407407407406,0.2846335158150852,0.8934020738088698,0.9080196625977468,3.199741053545064e-05,0.8024527081774847
channel_6,0.011289478824349644,-0.1480003041362531,0.9465112827346341,0.8404674537099759,9.352942923343614e-05,0.8024527081774847
channel_7,0.006046863189720331,0.07044555961070564,0.6289790403178548,0.9784563348782651,6.279878416402803e-09,0.8024527081774847
channel_8,0.016615784403498837,-0.0009314172749391725,0.9330104202283775,0.5544546503701369,9.702199060287124e-23,0.8024527081774847
channel_9,0.004384566326530611,-0.3039081508515815,0.8308915224697417,0.7562051596332515,6.129399998275523e-19,0.8024527081774847
channel_10,0.0023741092657637124,-0.08557633819951338,0.7493209950478119,0.5320343053399952,3.0548185942755084e-22,0.8024527081774847
channel_11,0.007616729763836308,-0.2465404501216545,0.9161242518261646,0.8519983151057795,1.4228972028549475e-05,0.8024527081774847
channel_12,0.009026732461287566,0.39990115571776164,0.9488212293127971,0.5791473766194616,0.0,0.8024527081774847
channel_13,0.0019248025367818921,-0.230801399026764,0.929814268182181,0.7995961650546324,8.841208669942435e-28,0.8024527081774847
channel_14,0.004637522371009181,0.015815085158150888,0.9260771541047874,0.8045069474782065,2.4300905243477888e-11,0.8024527081774847
channel_15,0.002979923568843461,-0.17037332725060828,0.9518879746299265,0.6376572068641477,9.114295309924642e-09,0.8024527081774847
channel_16,0.0021182828813889817,0.027372262773722733,0.9280062740618875,0.7047194115175592,1.7791141802262627e-20,0.8024527081774847
channel_17,0.0011250945751227668,-0.2393172141119222,0.8857704775296755,0.6199697833600348,2.0393543484209272e-13,0.8024527081774847
channel_18,0.000693618707887436,0.3185066909975669,0.8545089769033869,0.7730421288592484,1.111990117025785e-10,0.8024527081774847
channel_19,0.010616517637782673,-0.20595726885644766,0.9405920958402426,0.7961502396160189,3.211463278265267e-14,0.8024527081774847
channel_20,0.0018882066124749615,0.3115495742092458,0.9095082471581419,0.5147032961409197,1.983712549591407e-27,0.8024527081774847
channel_21,0.009728427474735794,0.24068582725060828,0.9196843928465694,0.5749655094470338,1.6612381955442926e-21,0.8024527081774847
channel_22,0.0006408940421286993,-0.2557025547445255,0.9307195033793892,0.8186724316119828,1.844775484041721e-07,0.8024527081774847
channel_23,0.003527706198703579,-0.1972323600973236,0.9394503415763144,0.7145300485928713,1.3953148633156583e-07,0.8024527081774847
channel_24,0.004075711132562222,0.31189172749391725,0.9303319466873692,0.8668991691360994,0.0002926660218751978,0.8024527081774847
channel_25,0.0035977659846339292,0.19776459854014594,0.9305190194362241,0.8226607797779444,4.981286617089743e-12,0.8024527081774847
channel_26,0.003867486384443181,0.183926399026764,0.9043189351256307,0.694074599780508,2.1044045781634225e-30,0.8024527081774847
channel_27,0.0023571772985341646,-0.23023114355231145,0.9340895856193132,0.7825811851152203,4.614727214641542e-09,0.8024527081774847
channel_28,0.003954696475101879,0.3412408759124088,0.9179416534575826,0.809949113225437,1.9571328572219388e-16,0.8024527081774847
channel_29,0.007668161546244733,0.13032238442822375,0.8838733767833091,0.6678102626263955,7.79356941394258e-11,0.8024527081774847
channel_30,0.011485973967143277,0.21894008515815078,0.9047070180333798,0.5514067243399202,0.0,0.8024527081774847
channel_31,0.0008596178007009192,0.016176246958637508,0.9112420297750334,0.8849521744143137,7.85882954172048e-11,0.8024527081774847
channel_32,0.0038321982918136993,-0.00038017031630166453,0.9386734863867124,0.6439429126642913,1.9905473362173454e-27,0.8024527081774847
channel_33,0.0625,-0.33230687347931875,0.9311220774032843,0.9683216357710274,0.13219374118828509,0.8024527081774847
channel_34,0.00211901127891179,0.2753573600973236,0.9118549188372623,0.7826173290311181,2.7104093334856784e-09,0.8024527081774847
channel_35,0.005617532336641681,0.2898038321167884,0.9460326176080521,0.7968052641642249,6.5312684032029155e-09,0.8024527081774847
channel_36,0.004517103299453062,0.08348540145985406,0.9480770412367773,0.7945334272367579,1.9567460170146592e-08,0.8024527081774847
channel_37,0.0020854319939983866,-0.024444951338199516,0.9120243005536509,0.6760485951247599,0.0,0.8024527081774847
channel_38,0.027247851389370636,-0.23019312652068125,0.8934763271311308,0.7952376588251027,5.054278328528345e-07,0.8024527081774847
channel_39,0.007051733889745791,-0.17978254257907544,0.9077012866091486,0.6262182234194797,3.894085917530833e-22,0.8024527081774847
channel_40,0.0020203915681491205,-0.2344130170316302,0.8975398840155546,0.806498527864671,9.364604048037315e-13,0.8024527081774847
channel_41,0.010005002943933972,-0.16446167883211682,0.9527189436170194,0.7914224629375689,8.562955397976375e-10,0.8024527081774847
channel_42,0.005635805208091494,-0.19578771289537716,0.9436981726789987,0.7462802784752389,9.798564313071885e-11,0.8024527081774847
channel_43,0.0006712062725594798,0.07656630170316303,0.9024078068234893,0.7451669484918434,1.6410475947002702e-12,0.8024527081774847
channel_44,0.006663952532535343,-0.27927311435523117,0.9172251898827497,0.8293395064177912,8.093394922522532e-06,0.8024527081774847
channel_45,0.018530320422925493,0.00893400243308995,0.9593368029731915,0.7383570260020426,4.0656511636836643e-08,0.8024527081774847
channel_46,0.006217319951408302,0.21827478710462278,0.9538256407082575,0.7978496301284145,4.561028473409467e-12,0.8024527081774847
channel_47,0.04000000000000001,-0.8879067822384428,0.9126929238077448,0.9580050235728736,0.0001717211384956427,0.8024527081774847
channel_48,0.00202741353303744,0.007071167883211604,0.9609211731271048,0.729809955804362,7.743821739253587e-09,0.8024527081774847
channel_49,0.010110013315103143,0.1092989659367396,0.9281041970424104,0.7264576483331375,1.1870126181929762e-14,0.8024527081774847
channel_50,0.0026972310397959534,0.009048053527980437,0.9406508108269012,0.8085999417461734,4.205392863994588e-11,0.8024527081774847
channel_51,0.0007318446237568022,0.0348616180048662,0.7915167331409506,0.5765610832360656,2.6625166723522506e-24,0.8024527081774847
channel_52,0.0032711763493023264,-0.1826338199513382,0.912720727295143,0.8289591741368855,3.403827716628012e-05,0.8024527081774847
channel_53,0.015046296296296297,-0.2501140510948905,0.8878465048142424,0.8036665343396037,3.3981787434245087e-16,0.8024527081774847
channel_54,0.005096296296296297,0.2990799878345498,0.9355028286460221,0.889700422376263,0.00017397853397363455,0.8024527081774847
channel_55,0.0003150155971327561,-0.224566605839416,0.9525818826487069,0.682250347304238,1.585989774743802e-16,0.8024527081774847
