Variable,Transition,Shifting,Seasonality,Trend,Stationarity,Correlation
channel_1,0.0007631861608909491,-0.016297043010752743,0.9165070401259062,0.4997205588529964,1.9206819944292212e-29,0.8066898128541841
channel_2,0.0016117001438542278,0.05505152329749108,0.9307862602684653,0.31016413362907713,3.3127348157986664e-29,0.8066898128541841
channel_3,0.005261518792309332,0.014504928315412169,0.8929862370061377,0.41563644655013965,5.486709104932655e-28,0.8066898128541841
channel_4,0.0011111111111111113,0.051859318996415826,0.917668684590615,0.2434394977047717,1.0158430828826171e-28,0.8066898128541841
channel_5,0.0021623607891910228,-0.1261760752688172,0.9106381538290216,0.33132914507210076,5.195325112152197e-29,0.8066898128541841
channel_6,0.006163414592067355,0.04060259856630832,0.9193736241037844,0.20644148661965667,1.0365121308001847e-28,0.8066898128541841
channel_7,0.0033383365250245853,0.01162074372759847,0.9121409234641297,0.4000781800830224,6.013793273080435e-29,0.8066898128541841
channel_8,0.0023986939887426636,0.049003136200716835,0.9441828596211309,0.3222208656846961,2.2753412145303955e-30,0.8066898128541841
channel_9,0.0014522364441239511,0.008960573476702427,0.9297762314752993,0.18893707362453083,0.0,0.8066898128541841
channel_10,0.018434652885076452,0.049955197132616425,0.9498836984696981,0.28329055580886175,1.8247635301352692e-29,0.8066898128541841
channel_11,0.0030951889652545196,-0.08260528673835121,0.8286339681893902,0.39543665305457265,1.905651058360239e-26,0.8066898128541841
channel_12,0.001696387745770462,0.05577956989247301,0.9421485138220257,0.3267523049769837,1.716494413606433e-29,0.8066898128541841
channel_13,0.00658601390694782,-0.010808691756272415,0.9567679743180666,0.3555842098708566,2.4089616592058064e-29,0.8066898128541841
channel_14,0.0033062600411967276,-0.007728494623655879,0.8954900707551774,0.12461811793181632,1.2387287720758702e-27,0.8066898128541841
channel_15,0.002409819076277641,-0.04401881720430112,0.9061961161265307,0.18251745857685964,9.434583300534335e-30,0.8066898128541841
channel_16,0.00434226650327668,0.07361671146953397,0.9179305191546822,0.4612781983844012,1.5708424409683495e-28,0.8066898128541841
channel_17,0.005900315718648103,0.041722670250896154,0.9032809547317092,0.2877627810657838,6.02358723630082e-29,0.8066898128541841
channel_18,0.007504663915427667,-0.00789650537634412,0.9276593380771906,0.3136805002092422,1.9549065343017625e-28,0.8066898128541841
channel_19,0.00356971602109862,0.043262768817204256,0.9151182418076598,0.2577740082799366,1.153406682442572e-28,0.8066898128541841
channel_20,0.012047145604945828,-0.042226702508960545,0.8805093510469738,0.24706719495688534,3.601077441335232e-29,0.8066898128541841
channel_21,0.0060843699296917264,-0.046566980286738335,0.8800520114268449,0.45079732014640217,9.559487195372726e-30,0.8066898128541841
channel_22,0.009120268860528602,-0.10618279569892475,0.9293979929654904,0.7072044815666131,1.448358312574297e-28,0.8066898128541841
channel_23,0.0015357914320318644,0.018537186379928405,0.9246963681592788,0.3206988866512729,9.442512691669862e-29,0.8066898128541841
channel_24,0.006089388730260475,-0.007504480286738335,0.954865713145831,0.3235251343024934,6.143823295335387e-29,0.8066898128541841
channel_25,0.0032855595219066893,-0.01624103942652333,0.8441028466886104,0.262794562944452,6.159174031708706e-29,0.8066898128541841
channel_26,0.00677767019571118,0.09111783154121866,0.9486038811673762,0.5017064987666431,2.5206657966833094e-28,0.8066898128541841
channel_27,0.0019180563695455266,-0.205057123655914,0.903548302530639,0.33318561760647836,4.4005255009289613e-29,0.8066898128541841
channel_28,0.011867101575177431,0.3482302867383513,0.8922733973246186,0.6032786648245517,2.380572410954768e-28,0.8066898128541841
channel_29,0.008294467306812988,0.012488799283154162,0.9574716672192672,0.322494112661317,2.263624196001099e-28,0.8066898128541841
channel_30,0.009441887647015852,0.08862567204301075,0.9366437987016267,0.6762957461949662,1.2054411133079168e-29,0.8066898128541841
channel_31,0.008271349862258952,-0.33271729390681004,0.9234743416655063,0.7642931325889375,4.009290749948461e-29,0.8066898128541841
channel_32,0.009087568545423707,0.087869623655914,0.9478299849663572,0.3512077954654689,2.902181757789882e-30,0.8066898128541841
channel_33,0.0020778944003409876,0.042394713261648675,0.9223546736036105,0.32121238053680523,4.7207327978378e-30,0.8066898128541841
channel_34,0.0011309683776762516,-0.07795698924731187,0.8153081980692891,0.2492994170345435,3.290507371983935e-25,0.8066898128541841
channel_35,0.007561194412405487,0.024361559139784994,0.9422960532264149,0.34978895020007794,1.0641398530297156e-29,0.8066898128541841
channel_36,0.014780980970619188,0.07406474014336917,0.8922806607271662,0.33005595805617205,4.218290415411533e-29,0.8066898128541841
channel_37,0.004473483830511512,0.05199932795698925,0.9295852394667219,0.5344113520346842,1.874860240498777e-27,0.8066898128541841
channel_38,0.008618272139094203,0.05202732974910396,0.9510297891616075,0.2879703709121906,1.3770326718846605e-29,0.8066898128541841
channel_39,0.0064426154549611335,0.11967965949820791,0.9368238517263265,0.41479948171150527,4.601063213412971e-28,0.8066898128541841
channel_40,0.001559213534522176,0.009884632616487532,0.9315528219584691,0.394954290023272,2.1739096945481145e-29,0.8066898128541841
channel_41,0.0028301847527958477,0.01467293906810041,0.910338192135327,0.1304465679303587,2.6069125416173883e-30,0.8066898128541841
channel_42,0.002674047663726778,0.02542562724014341,0.9031120286788619,0.12229471690169391,3.76158085275918e-30,0.8066898128541841
channel_43,0.004423653117756798,0.07594086021505375,0.9283276387417349,0.4891227172999143,2.3071360107518247e-29,0.8066898128541841
channel_44,0.008409180846853976,0.02508960573476693,0.941200221403715,0.2544297578465863,2.5213761568764534e-30,0.8066898128541841
channel_45,0.0033744855967078186,0.024081541218637925,0.9059440112584584,0.36542422499844884,9.499116212618154e-29,0.8066898128541841
channel_46,0.006736710977068957,0.04855510752688175,0.9601642609288016,0.5107519183909257,2.3179557408335947e-30,0.8066898128541841
channel_47,0.007146625963404752,0.020889336917562784,0.9268687905681614,0.23325157418001974,3.769084712455713e-29,0.8066898128541841
channel_48,0.006846452172716835,0.019041218637992907,0.944684005561428,0.18111496030072938,5.87294247079397e-30,0.8066898128541841
channel_49,0.00545065671698042,0.011648745519713177,0.9638846084396824,0.39501787910635866,5.667043190335879e-29,0.8066898128541841
channel_50,0.006023324362424708,-0.0375784050179212,0.7955245624754836,0.07586034872174685,1.139825046621288e-28,0.8066898128541841
channel_51,0.00545065671698042,0.011676747311827884,0.9638488026031747,0.394514298932529,5.299601350560036e-29,0.8066898128541841
channel_52,0.00545065671698042,0.011676747311827884,0.9638488026031747,0.394514298932529,5.299601350560036e-29,0.8066898128541841
channel_53,0.006487068355004108,-0.07944108422939067,0.9017439078641443,0.2524198408822015,1.2188798510413839e-29,0.8066898128541841
channel_54,0.005861158052172561,-0.045866935483870996,0.9297415788896212,0.29148530890699,0.0,0.8066898128541841
channel_55,0.0035410317774602143,0.4746863799283154,0.9574602557039255,0.7138084871014129,1.6374197291995258e-29,0.8066898128541841
channel_56,0.00545065671698042,0.011648745519713177,0.9638500531957943,0.3942529877541736,6.028718152665487e-29,0.8066898128541841
channel_57,0.0034972989846722012,-0.23790322580645162,0.9112305057939574,0.47024102699789994,9.026702945723683e-30,0.8066898128541841
channel_58,0.010239290581922952,-0.008736559139784938,0.8843435999340781,0.1549984164610202,8.841640080541935e-28,0.8066898128541841
channel_59,0.011405869537357428,-0.04135864695340502,0.9439883659758561,0.32822465494148256,0.0,0.8066898128541841
channel_60,0.008120842731128366,-0.202116935483871,0.9413815042760597,0.6603169797593367,3.221157242897968e-30,0.8066898128541841
channel_61,0.008911217548243786,0.46650985663082434,0.9335896547694652,0.8490917084257061,4.448524492326038e-26,0.8066898128541841
channel_62,0.00545065671698042,0.011648745519713177,0.9638846084396824,0.39501787910635866,5.667043190335879e-29,0.8066898128541841
